channel,outcome,horizon,beta_level,beta_innovation,rel_diff
pooled,ip,1,0.06578924772045502,0.06694551195724124,0.01727172147887579
pooled,ip,2,-0.5752788326393806,-0.5735179571415047,0.0030703057784840994
pooled,ip,6,0.2156516938800161,0.21068846142711278,0.02355721058136983
pooled,cpi,1,0.037020831404446536,0.03933065701414329,0.05872837590447931
pooled,cpi,2,-0.09746748920941511,-0.09229235143981367,0.056073311481030966
pooled,cpi,6,0.04371860003942678,0.039768952718865276,0.0993148436289573
pooled,infl_exp,1,-0.07790224684369194,-0.0712620307212198,0.09318028205579723
pooled,infl_exp,2,0.09848943945921687,0.09495623782228649,0.03720873655022936
pooled,infl_exp,6,0.05823932735118721,0.05635051567553122,0.03351897765287288
pooled,oil,1,-0.054746053227909514,-0.05212243741375753,0.050335631722769184
pooled,oil,2,0.006369371300370231,0.008231432637352692,0.22621351823165958
pooled,oil,6,-0.0014356167984182697,-0.001761948992942344,0.18521092031110392
pooled,vix,1,-0.8353376002335713,-0.788177861939551,0.05983387833041828
pooled,vix,2,-2.2605434128703292,-2.120404792095862,0.06609050370799752
pooled,vix,6,-0.4497154471139887,-0.42518966655147594,0.05768197699024635
act,ip,1,0.0033825014320669616,0.03499019777133262,0.9033300281932606
act,ip,2,-0.4092455476913496,-0.3806785977947434,0.07504217484800417
act,ip,6,0.10097741091975972,0.10195438329193361,0.009582445998191734
act,cpi,1,-0.006623791960067328,0.005547968486746742,2.1939130468910495
act,cpi,2,-0.07984113445533766,-0.06623477469036163,0.20542622555272336
act,cpi,6,-0.015541776109771062,-0.012711712002242219,0.2226343789907802
act,infl_exp,1,-0.11039008954483118,-0.08903723138753211,0.2398194308666375
act,infl_exp,2,0.07865459673992993,0.07815957521355223,0.00633347257869783
act,infl_exp,6,-0.03572787679186337,-0.026021092830661514,0.3730352150991919
act,oil,1,-0.04300171211202965,-0.035696054680988284,0.2046628821120771
act,oil,2,-0.0031110448367265217,0.0009988499651095075,4.114626766178489
act,oil,6,-0.014623195896224378,-0.013893954817254379,0.05248621350519884
act,vix,1,-1.1134456157076906,-1.1505528388071982,0.03225164620685944
act,vix,2,-0.9691484823019514,-0.9805140885306943,0.011591476717865793
act,vix,6,-0.19353287187146934,-0.06267640951122766,2.0878104438449117
threat,ip,1,0.0952389391160694,0.07493888912642799,0.27088805593840043
threat,ip,2,-0.5737736192892431,-0.5897411912995942,0.027075558305778014
threat,ip,6,0.07604083399157566,0.06098012478281978,0.24697734323100312
threat,cpi,1,0.06614841985377956,0.07224945977421086,0.0844440905094358
threat,cpi,2,-0.04590388392465945,-0.03705370162198193,0.23884745424266038
threat,cpi,6,0.06785622581018777,0.06493866266208906,0.04492798324598043
threat,infl_exp,1,-0.02595883512637611,-0.027434386119098927,0.05378472790741928
threat,infl_exp,2,0.056511951145963024,0.058592917178444684,0.03551565842240077
threat,infl_exp,6,0.09911894486883584,0.0947887850422299,0.045682195680393854
threat,oil,1,-0.03844256926638909,-0.03673492677001886,0.046485528800996934
threat,oil,2,0.010248221422961909,0.01155889209592532,0.11339068330133832
threat,oil,6,0.010075044132898133,0.007822854780173735,0.28789865285910116
threat,vix,1,-0.6368416117258233,-0.6297560157205702,0.011251335165327133
threat,vix,2,-2.6602764867180406,-2.6247478682439453,0.013536011936211324
threat,vix,6,-0.42635178678300023,-0.49569470499660573,0.13989037509303295
