measure,channel,outcome,family,battery,horizon,beta,beta_std,se,tstat,pvalue,ci_low,ci_high,ci_low_supt,ci_high_supt,supt_c,nobs,converged
LEVEL,pooled,oil,asset_price,a,0,0.008604728736867615,0.003031661060130765,0.05181991199224222,0.1660506242881269,0.8681171107110204,-0.0766314414518781,0.09384089892561333,-0.1381325012982348,0.15534195877197005,2.831676558174586,303,True
LEVEL,pooled,oil,asset_price,a,1,-0.05202607830086983,-0.018330088085203037,0.05340229177234919,-0.9742293181471299,0.32994269064727555,-0.13986503161013916,0.0358128750083995,-0.2032440960654306,0.09919193946369093,2.831676558174586,302,True
LEVEL,pooled,oil,asset_price,a,2,0.0007996754409487654,0.0002817456504677459,0.033344811994419354,0.023982004789308765,0.980866962677279,-0.05404765950808686,0.05564701038998439,-0.09362204702038729,0.09522139790228482,2.831676558174586,301,True
LEVEL,pooled,oil,asset_price,a,3,-0.011436417396726246,-0.004029335769819799,0.043095892463056035,-0.26537140184601393,0.7907233646377424,-0.08232285242129458,0.059450017627842085,-0.13347004583797484,0.11059721104452236,2.831676558174586,300,True
LEVEL,pooled,oil,asset_price,a,4,0.03288171124105393,0.01158504894324607,0.025230672317177905,1.3032435611581754,0.19249162259608565,-0.008619051630280254,0.0743824741123881,-0.038563392106483206,0.10432681458859105,2.831676558174586,299,True
LEVEL,pooled,oil,asset_price,a,5,-0.02345438111027916,-0.008263564846250411,0.047988391715017426,-0.4887511390163838,0.6250178939843412,-0.10238826127429355,0.05547949905373524,-0.15934198499419353,0.1124332227736352,2.831676558174586,298,True
LEVEL,pooled,oil,asset_price,a,6,-0.005615655443450409,-0.001978535809278458,0.03266659108937496,-0.17190821742269094,0.8635096861952338,-0.05934741627694945,0.04811610539004864,-0.0981168756667083,0.08688556477980748,2.831676558174586,297,True
LEVEL,pooled,oil,asset_price,a,7,-0.0007618011317210484,-0.000268401584434257,0.03500505727238772,-0.021762602066129556,0.9826373263444566,-0.058339996547852005,0.056816394284409905,-0.09988480122750017,0.09836119896405808,2.831676558174586,296,True
LEVEL,pooled,oil,asset_price,a,8,0.02277804161452076,0.008025273532785293,0.03000316891197805,0.7591878605005343,0.4477401868415555,-0.02657277959038399,0.07212886281942552,-0.06218122846447998,0.10773731169352149,2.831676558174586,295,True
LEVEL,pooled,oil,asset_price,a,9,-0.017935563415653548,-0.006319147396915712,0.034018770226779696,-0.527225508038342,0.5980369969727772,-0.07389146100760088,0.03802033417629379,-0.11426571760475315,0.07839459077344607,2.831676558174586,294,True
LEVEL,pooled,oil,asset_price,a,10,0.06712651045219001,0.023650347856804987,0.02973535930194559,2.2574642455320157,0.023979081205305022,0.018216196855679608,0.11603682404870042,-0.01707440943202794,0.15132743033640794,2.831676558174586,293,True
LEVEL,pooled,oil,asset_price,a,11,-0.0203506809076632,-0.0071700536695092285,0.030737848581216365,-0.6620723911074026,0.5079248288031818,-0.0709099426311621,0.0302085808158357,-0.10739032618381354,0.06668896436848713,2.831676558174586,292,True
LEVEL,pooled,oil,asset_price,a,12,-0.013492179521333528,-0.004753632162262772,0.028601177295479112,-0.4717351101301061,0.6371158729569208,-0.06053692973088444,0.03355257068821739,-0.09448146280513693,0.06749710376246988,2.831676558174586,291,True
LEVEL,pooled,oil,asset_price,a,13,-0.007775377430368699,-0.0027394598603057694,0.026159539279064344,-0.29722914258629113,0.7662915741200353,-0.050803990492917186,0.03525323563217979,-0.08185073157954251,0.06629997671880511,2.831676558174586,290,True
LEVEL,pooled,oil,asset_price,a,14,0.007778712921079534,0.002740635037073532,0.031173277978180924,0.24953143928348118,0.8029497248246128,-0.04349676642529782,0.05905419226745688,-0.08049392757119543,0.09605135341335451,2.831676558174586,289,True
LEVEL,pooled,oil,asset_price,a,15,0.01488764014565842,0.005245287828011463,0.03392649004558529,0.4388205241878738,0.6607915874974956,-0.04091647005555556,0.0706917503468724,-0.08118120641756887,0.11095648670888572,2.831676558174586,288,True
LEVEL,pooled,oil,asset_price,a,16,0.0029123588260119597,0.0010260968260531987,0.03133402320159185,0.09294557571732455,0.9259467982450003,-0.04862752288410798,0.054452240536131895,-0.08581546014723428,0.09164017779925819,2.831676558174586,287,True
