measure,channel,outcome,family,battery,horizon,beta,se,tstat,pvalue,ci_low,ci_high,ci_low_supt,ci_high_supt,supt_c,nobs,converged
LEVEL,pooled,oil,asset_price,a,0,0.037401173220672324,0.07342564512635721,0.5093747989045128,0.6104895373360134,-0.08337326547666803,0.15817561191801266,-0.17188866089640842,0.24669100733775307,2.8503642529380118,225,True
LEVEL,pooled,oil,asset_price,a,1,-0.05330593706226892,0.09878883955044611,-0.5395947285629209,0.5894765527826131,-0.21579911809914723,0.10918724397460941,-0.33489011390608936,0.2282782397815515,2.8503642529380118,224,True
LEVEL,pooled,oil,asset_price,a,2,0.006009829287818746,0.051068536880777914,0.11768164225752142,0.906319913049754,-0.07799043882363382,0.09001009739927132,-0.1395541026869971,0.15157376126263458,2.8503642529380118,223,True
LEVEL,pooled,oil,asset_price,a,3,-0.005047282654640161,0.07841995090748564,-0.06436222665574722,0.9486818063998723,-0.13403662333017433,0.123942058020894,-0.22857270743849104,0.2184781421292107,2.8503642529380118,222,True
LEVEL,pooled,oil,asset_price,a,4,-0.0014363370690276035,0.04196621827272146,-0.034226030558518056,0.9726969093135612,-0.07046462340435064,0.06759194926629544,-0.12105534546458685,0.11818267132653165,2.8503642529380118,221,True
LEVEL,pooled,oil,asset_price,a,5,-0.08910171878044787,0.04984200513802815,-1.7876832710421109,0.07382712222403259,-0.1710845217062674,-0.007118915854628344,-0.23116958852063604,0.052966150959740305,2.8503642529380118,220,True
LEVEL,pooled,oil,asset_price,a,6,-0.0034342883160473625,0.05636161669713922,-0.06093310513964868,0.9514124843313637,-0.09614089796118545,0.08927232132909073,-0.16408542578736715,0.15721684915527243,2.8503642529380118,219,True
LEVEL,pooled,oil,asset_price,a,7,0.010181571508684267,0.04887806486766104,0.20830553615924044,0.8349904092291331,-0.07021569076725732,0.09057883378462585,-0.12913871734288207,0.1495018603602506,2.8503642529380118,218,True
LEVEL,pooled,oil,asset_price,a,8,-0.011319968133999044,0.04900010508864301,-0.23101926237751533,0.8172998375440091,-0.0919179687100568,0.0692780324420587,-0.15098811606887305,0.12834817980087496,2.8503642529380118,217,True
LEVEL,pooled,oil,asset_price,a,9,-0.013615405712300029,0.06616827628578209,-0.20576938793893954,0.8369710543630613,-0.12245253495009578,0.09522172352549574,-0.20221909511581926,0.17498828369121922,2.8503642529380118,216,True
LEVEL,pooled,oil,asset_price,a,10,0.07705730691232017,0.0475773780198031,1.6196207130255613,0.10531377739329695,-0.0012005158843942099,0.15531512970903455,-0.05855555064384528,0.21267016446848563,2.8503642529380118,215,True
LEVEL,pooled,oil,asset_price,a,11,-0.032595926971453644,0.04749092143301837,-0.6863612241642276,0.492485349997694,-0.11071154133782132,0.04551968739491403,-0.16796235176321686,0.10277049782030959,2.8503642529380118,214,True
LEVEL,pooled,oil,asset_price,a,12,0.010398096936553946,0.041688848135226164,0.24942154560916693,0.8030347206963859,-0.05817395612210193,0.07897014999520982,-0.10843030553425621,0.1292264994073641,2.8503642529380118,213,True
LEVEL,pooled,oil,asset_price,a,13,-0.03949381476636861,0.040384577239876325,-0.9779430036318874,0.3281025145002652,-0.10592053311228106,0.026932903579543838,-0.15460457010092613,0.0756169405681889,2.8503642529380118,212,True
LEVEL,pooled,oil,asset_price,a,14,-0.03166697241007535,0.04050317370554375,-0.7818392859851628,0.4343090297649168,-0.09828876458268448,0.034954819762533784,-0.14711577087089608,0.08378182605074538,2.8503642529380118,211,True
LEVEL,pooled,oil,asset_price,a,15,-0.015164845343072952,0.052954565618366735,-0.286374652798836,0.7745911862480452,-0.10226735466408321,0.0719376639779373,-0.16610464621152576,0.13577495552537988,2.8503642529380118,210,True
