measure,channel,outcome,family,battery,horizon,beta,beta_std,se,tstat,pvalue,ci_low,ci_high,ci_low_supt,ci_high_supt,supt_c,nobs,converged,rank,threshold,pvalue_adj,reject,family_size
LEVEL,pooled,oil,asset_price,a,1,-0.054610493109997445,-0.019480534444236818,0.05233610333052066,-1.0434573771209756,0.29673651151862,-0.14069572249371137,0.03147473627371649,-0.20231401389993986,0.09309302767994498,2.822210890580512,308,True,1.0,0.025,1.0,False,4.0
LEVEL,pooled,dxy,asset_price,a,1,0.0005294507988377815,0.00018886451917790757,0.004263510452700444,0.12418189299909779,0.9011712585511946,-0.006483399832832057,0.0075423014305076195,-0.011514697406790706,0.012573599004466269,2.824936947908713,308,True,4.0,0.1,1.0,False,4.0
LEVEL,pooled,vix,asset_price,a,1,-0.8350679297335035,-0.29788358687193345,1.6632345082710895,-0.5020746777323335,0.6156149917449101,-3.5708452431340536,1.9007093836670466,-5.390790530760668,3.7206546712936617,2.7390741223634056,308,True,2.0,0.03333333333333333,1.0,False,4.0
LEVEL,pooled,us10y,asset_price,a,1,0.029244246258278178,0.010431942912191705,0.07728449575390818,0.3783973224254275,0.7051354569819848,-0.09787743688965334,0.1563659294062097,-0.18863498421367386,0.24712347673023022,2.819184214719214,308,True,3.0,0.05,1.0,False,4.0
LEVEL,pooled,ip,real_macro,a,1,0.06593113501532494,0.023518808812560195,0.521316755612017,0.12647039310663036,0.899359583718072,-0.7915586212436754,0.9234208912743254,-1.4042854383935088,1.5361477084241586,2.820198195400078,308,True,3.0,0.1,1.0,False,3.0
LEVEL,pooled,cpi,real_macro,a,1,0.037381678980725544,0.013334709933870098,0.09456906747545939,0.3952844199338866,0.6926329962590345,-0.11817059465370235,0.19293395261515345,-0.22890964733608749,0.30367300529753855,2.8158396125235714,308,True,2.0,0.05,1.0,False,3.0
LEVEL,pooled,infl_exp,real_macro,a,1,-0.07857301344251638,-0.028028391753785697,0.12559746314790254,-0.6255939528809547,0.5315813061613845,-0.2851624562372478,0.128016429352215,-0.4333739515937734,0.27622792470874064,2.824905290749753,308,True,1.0,0.03333333333333333,1.0,False,3.0
LEVEL,pooled,freight,physical_channel,a,1,0.006207274910825296,0.0022142453916615965,0.011090682652469154,0.5596837548537511,0.5756951649468552,-0.012035274675456367,0.024449824497106958,-0.025229720287373546,0.03764427010902414,2.8345410452439483,308,True,1.0,0.1,0.5756951649468552,False,1.0
LEVEL,pooled,oil,asset_price,a,2,0.00639141283867057,0.0022799306664430387,0.033458645661256864,0.19102425434008072,0.8485065908308199,-0.04864316183013192,0.06142598750747306,-0.08803594133060294,0.1008187670079441,2.822210890580512,307,True,4.0,0.1,1.0,False,4.0
LEVEL,pooled,dxy,asset_price,a,2,0.0026230685456456264,0.0009356952161211898,0.004015148145998238,0.6532930916284994,0.5135673452769491,-0.003981262445047056,0.009227399536338308,-0.008719471803311963,0.013965608894603217,2.824936947908713,307,True,3.0,0.05,1.0,False,4.0
LEVEL,pooled,vix,asset_price,a,2,-2.2612501284895763,-0.8066281497650843,1.3547759703386892,-1.66909524378726,0.09509850575265139,-4.489658297007869,-0.03284195997128325,-5.972081930444053,1.4495816734649,2.7390741223634056,307,True,1.0,0.025,0.38039402301060554,False,4.0
LEVEL,pooled,us10y,asset_price,a,2,0.047652444244983314,0.0169984746264181,0.05181807772983615,0.919610420390907,0.35777637934168993,-0.03758070885059098,0.1328855973405576,-0.09843226252806399,0.19373715101803063,2.819184214719214,307,True,2.0,0.03333333333333333,1.0,False,4.0
LEVEL,pooled,ip,real_macro,a,2,-0.5757727416517409,-0.20538838027349815,0.5543272935220722,-1.0386873393756404,0.2989501712151781,-1.4875600009197147,0.3360145176162329,-2.1390855745036985,0.9875400912002166,2.820198195400078,307,True,2.0,0.05,0.8001341806285377,False,3.0
LEVEL,pooled,cpi,real_macro,a,2,-0.09745441506769854,-0.03476372362442017,0.08774398648524055,-1.1106677388551451,0.2667113935428459,-0.24178042948112743,0.04687159934573033,-0.3445274079735718,0.14961857783817467,2.8158396125235714,307,True,1.0,0.03333333333333333,0.8001341806285377,False,3.0
LEVEL,pooled,infl_exp,real_macro,a,2,0.0992873084832714,0.03541754931397699,0.18624581875052515,0.5330981879183339,0.5939656133843342,-0.2070598019930764,0.40563441895961916,-0.4268394902851067,0.6254141072516495,2.824905290749753,307,True,3.0,0.1,0.8001341806285377,False,3.0
LEVEL,pooled,freight,physical_channel,a,2,0.009909102546013609,0.00353475316676374,0.008312343582321795,1.1920949185844179,0.2332240292393999,-0.0037634859438351893,0.023581691035862405,-0.013652576520247636,0.033470781612274854,2.8345410452439483,307,True,1.0,0.1,0.2332240292393999,False,1.0
LEVEL,pooled,oil,asset_price,a,6,-0.0013629274062119069,-0.0004861804530537161,0.03109179562666069,-0.043835596456938616,0.9650354524750364,-0.05250438021115866,0.049778525398734855,-0.08911053163147725,0.08638467681905343,2.822210890580512,303,True,4.0,0.1,1.0,False,4.0
LEVEL,pooled,dxy,asset_price,a,6,-0.005287641247874876,-0.0018861957032784372,0.005010156210526473,-1.0553845081247966,0.2912495051891836,-0.01352861486235279,0.0029533323666030373,-0.019441016641785415,0.008865734146035661,2.824936947908713,303,True,1.0,0.025,1.0,False,4.0
LEVEL,pooled,vix,asset_price,a,6,-0.44669073360482403,-0.15934253156042588,1.4042897188677586,-0.3180901544767976,0.7504165516756577,-2.7565417709751197,1.8631603037654718,-4.293144362856483,3.3997628956468358,2.7390741223634056,303,True,2.0,0.03333333333333333,1.0,False,4.0
LEVEL,pooled,us10y,asset_price,a,6,0.009603773491301338,0.003425836860969391,0.07815210272581419,0.12288566981997714,0.9021976334413827,-0.11894499613113815,0.13815254311374084,-0.21072140086042845,0.22992894784303114,2.819184214719214,303,True,3.0,0.05,1.0,False,4.0
LEVEL,pooled,ip,real_macro,a,6,0.21559249695549393,0.0769056791778293,0.23784065954337683,0.9064576989039785,0.364693644931013,-0.1756205745309597,0.6068055684419476,-0.45516530188150167,0.8863502957924896,2.820198195400078,303,True,1.0,0.03333333333333333,1.0,False,3.0
LEVEL,pooled,cpi,real_macro,a,6,0.043654077904968384,0.015572186219711171,0.06612527409825934,0.6601723546748598,0.509143230880706,-0.06511231902871373,0.1524204748386505,-0.14254408828988915,0.22985224409982594,2.8158396125235714,303,True,3.0,0.1,1.0,False,3.0
LEVEL,pooled,infl_exp,real_macro,a,6,0.05836598615688532,0.020820185626430558,0.06798230403268,0.8585467495898346,0.39059062768738484,-0.053454953199786076,0.1701869255135567,-0.1336775841823907,0.25040955649616137,2.824905290749753,303,True,2.0,0.05,1.0,False,3.0
LEVEL,pooled,freight,physical_channel,a,6,0.002800942142186459,0.000999145892480302,0.005307733039353278,0.5277096872467687,0.5977008485790196,-0.005929501798483941,0.01153138608285686,-0.01224404501505782,0.017845929299430737,2.8345410452439483,303,True,1.0,0.1,0.5977008485790196,False,1.0
LEVEL,pooled,oil,asset_price,b,1,-0.05197240763561109,-0.018539482422474062,0.05148782576144602,-1.0094115816117433,0.3127772863551662,-0.136662344583171,0.03271752931194884,-0.19692078589301282,0.09297597062179064,2.8151971094871673,308,True,1.0,0.025,1.0,False,4.0
LEVEL,pooled,dxy,asset_price,b,1,0.0007852117793181007,0.0002800990110493338,0.004146834491346829,0.18935209036111683,0.849816871477021,-0.006035723974141195,0.007606147532777396,-0.010988244594799459,0.01255866815343566,2.8391430616980617,308,True,4.0,0.1,1.0,False,4.0
LEVEL,pooled,vix,asset_price,b,1,-0.881645496968904,-0.3144986337463567,1.8680624416586318,-0.47195718799747444,0.6369573471617157,-3.9543347795029273,2.1910437855651193,-5.992544793027524,4.229253799089716,2.735936006250792,308,True,3.0,0.05,1.0,False,4.0
LEVEL,pooled,us10y,asset_price,b,1,0.04799200748321169,0.017119602874518344,0.0930557154672889,0.5157341195241459,0.6060401210361722,-0.10507102361172266,0.20105503857814605,-0.21496191009315652,0.3109459250595799,2.8257685866571216,308,True,2.0,0.03333333333333333,1.0,False,4.0
LEVEL,pooled,ip,real_macro,b,1,0.10213166624989956,0.03643218233208443,0.5653579500951565,0.18064956233959312,0.8566426507076473,-0.8277994084899681,1.0320627409897671,-1.4894545164673034,1.6937178489671023,2.815183163957135,308,True,3.0,0.1,1.0,False,3.0
LEVEL,pooled,cpi,real_macro,b,1,0.06774642134514228,0.024166353741387894,0.09710632541169692,0.6976519918545069,0.48539485836586216,-0.0919792702082173,0.22747211289850186,-0.20700510488059384,0.34249794757087837,2.829388560023104,308,True,1.0,0.03333333333333333,1.0,False,3.0
LEVEL,pooled,infl_exp,real_macro,b,1,-0.06866840530150665,-0.024495241821244875,0.12302299646878712,-0.5581753596688641,0.5767246448758072,-0.2710232272416293,0.13368641663861597,-0.4172145808639259,0.2798777702609126,2.833179044300477,308,True,2.0,0.05,1.0,False,3.0
LEVEL,pooled,freight,physical_channel,b,1,0.007480004472107328,0.0026682506687575867,0.011220284380195858,0.6666501684493633,0.5049956157970374,-0.010975720986084781,0.025935729930299436,-0.02425896532695219,0.03921897427116685,2.8287134909949128,308,True,1.0,0.1,0.5049956157970374,False,1.0
LEVEL,pooled,oil,asset_price,b,2,-0.0017948866759828173,-0.0006402680093834194,0.03454777427063186,-0.05195375719206903,0.9585655400319668,-0.05862091848813239,0.05503114513616675,-0.09905368094188076,0.09546390758991512,2.8151971094871673,307,True,4.0,0.1,1.0,False,4.0
LEVEL,pooled,dxy,asset_price,b,2,0.0006955052123507062,0.00024809908268094027,0.003997798150399997,0.17397206816985442,0.8618874138295172,-0.0058802875751546154,0.007271297999856028,-0.01065481566842679,0.0120458260931282,2.8391430616980617,307,True,3.0,0.05,1.0,False,4.0
LEVEL,pooled,vix,asset_price,b,2,-2.3802808652552,-0.8490885311942555,1.5949414595740812,-1.4923938750020571,0.13559591978676944,-5.003726109810902,0.24316437930050228,-6.74393863236612,1.9833769018557206,2.735936006250792,307,True,1.0,0.025,0.5423836791470777,False,4.0
LEVEL,pooled,us10y,asset_price,b,2,0.03409752117290356,0.012163192416774592,0.05878213136120594,0.5800660912306878,0.5618700493764843,-0.06259048079651391,0.13078552314232103,-0.13200717908434462,0.20020222143015176,2.8257685866571216,307,True,2.0,0.03333333333333333,1.0,False,4.0
LEVEL,pooled,ip,real_macro,b,2,-0.5494025877322841,-0.19598167723031026,0.5566050286821113,-0.9870600505229344,0.3236132007625585,-1.464936387939483,0.36613121247491476,-2.1163476934520418,1.0175425179874737,2.815183163957135,307,True,2.0,0.05,0.7222196588458846,False,3.0
LEVEL,pooled,cpi,real_macro,b,2,-0.10547828006447045,-0.03762597901791535,0.08991111800388911,-1.1731394560115245,0.24073988628196152,-0.25336890861642924,0.04241234848748836,-0.35987176876356164,0.1489152086346207,2.829388560023104,307,True,1.0,0.03333333333333333,0.7222196588458846,False,3.0
LEVEL,pooled,infl_exp,real_macro,b,2,0.0957408038953313,0.03415244803311411,0.19405224028963575,0.4933764420984362,0.6217466247724701,-0.22344672736313465,0.41492833515379723,-0.45404393679282545,0.645525544583488,2.833179044300477,307,True,3.0,0.1,0.7222196588458846,False,3.0
LEVEL,pooled,freight,physical_channel,b,2,0.009358800659203073,0.003338450693553172,0.00820240428760848,1.1409826108354084,0.2538771594064754,-0.004132953782992043,0.02285055510139819,-0.013843451007749552,0.0325610523261557,2.8287134909949128,307,True,1.0,0.1,0.2538771594064754,False,1.0
LEVEL,pooled,oil,asset_price,b,6,0.018125728156022092,0.006465769700321939,0.033236479938447014,0.5453564333404262,0.5855083980155404,-0.03654341641783232,0.0727948727298765,-0.07544151409622217,0.11169297040826635,2.8151971094871673,303,True,2.0,0.03333333333333333,1.0,False,4.0
LEVEL,pooled,dxy,asset_price,b,6,-0.0047708042262018385,-0.0017018307428215025,0.00437743088355074,-1.0898639757235904,0.2757730674084209,-0.01197103729173966,0.0024294288393359844,-0.01719895674729774,0.007657348294894062,2.8391430616980617,303,True,1.0,0.025,1.0,False,4.0
LEVEL,pooled,vix,asset_price,b,6,-0.37463814576840704,-0.13364009162243598,1.4218822467927066,-0.2634804299817837,0.7921803054262515,-2.713426316503299,1.9641500249664845,-4.264816981417348,3.5155406898805337,2.735936006250792,303,True,3.0,0.05,1.0,False,4.0
LEVEL,pooled,us10y,asset_price,b,6,0.0173860089752618,0.006201898708517518,0.09099833077424972,0.1910585482979168,0.8484797230072436,-0.13229292544529261,0.1670649433958162,-0.23975421556484708,0.2745262335153707,2.8257685866571216,303,True,4.0,0.1,1.0,False,4.0
LEVEL,pooled,ip,real_macro,b,6,0.2629749761545853,0.0938078524695452,0.24725910211888927,1.063560345811413,0.2875279142169075,-0.1437300547624341,0.6696800070716047,-0.4331046852656698,0.9590546375748404,2.815183163957135,303,True,2.0,0.05,0.824370034989802,False,3.0
LEVEL,pooled,cpi,real_macro,b,6,0.04225713829155813,0.01507387300725319,0.06718577079245913,0.6289596412027922,0.5293754785631033,-0.06825362047594855,0.15276789705906482,-0.14783751298496015,0.23235178956807642,2.829388560023104,303,True,3.0,0.1,0.824370034989802,False,3.0
