measure,channel,outcome,family,battery,horizon,beta,beta_std,se,tstat,pvalue,ci_low,ci_high,ci_low_supt,ci_high_supt,supt_c,nobs,converged,rank,threshold,pvalue_adj,reject,family_size
LEVEL,pooled,oil,asset_price,a,1,-0.05202607830086983,-0.018330088085203037,0.05340229177234919,-0.9742293181471299,0.32994269064727555,-0.13986503161013916,0.0358128750083995,-0.2032440960654306,0.09919193946369093,2.831676558174586,302,True,1.0,0.025,1.0,False,4.0
LEVEL,pooled,dxy,asset_price,a,1,0.0018136027593705212,0.0006389775938632134,0.004453065311614421,0.4072706399882141,0.6838092241250266,-0.005511037869490246,0.009138243388231288,-0.010798302015620351,0.014425507534361393,2.832184998970638,302,True,4.0,0.1,1.0,False,4.0
LEVEL,pooled,vix,asset_price,a,1,-0.9086651949428755,-0.32014546564396,1.7111170007780312,-0.5310362731068142,0.5953936433137701,-3.7232021998109452,1.9058718099251941,-5.582888015569603,3.7655576256838525,2.7316792589293404,302,True,3.0,0.05,1.0,False,4.0
LEVEL,pooled,us10y,asset_price,a,1,0.04120103183281277,0.014516153578388894,0.07580102988226553,0.5435418476082235,0.5867567862570101,-0.0834805670956886,0.16588263076131415,-0.17165036908322742,0.254052432748853,2.808027822928552,302,True,2.0,0.03333333333333333,1.0,False,4.0
LEVEL,pooled,ip,real_macro,a,1,0.0542992939377555,0.019130998786559484,0.5435576724480747,0.09989610429598458,0.92042680920304,-0.8397735150457606,0.9483721029212715,-1.485194884913313,1.593793472788824,2.8322554475544344,302,True,3.0,0.1,1.0,False,3.0
LEVEL,pooled,cpi,real_macro,a,1,0.054532976019226576,0.019213330826128704,0.09883589450280972,0.5517527442186129,0.5811177677463633,-0.10803760352671307,0.21710355556516622,-0.22243735567463707,0.3315033077130902,2.802325340273921,302,True,1.0,0.03333333333333333,1.0,False,3.0
LEVEL,pooled,infl_exp,real_macro,a,1,-0.06821751595441755,-0.024034736371380715,0.13148421746535485,-0.5188266490797071,0.6038816324677709,-0.28448980793918255,0.14805477603034747,-0.4387656027040903,0.3023305707952552,2.8181944106509174,302,True,2.0,0.05,1.0,False,3.0
LEVEL,pooled,freight,physical_channel,a,1,0.007091758388522614,0.0024986037807586143,0.011690595170548903,0.6066208165678564,0.5441025822864276,-0.012137559478976115,0.026321076256021342,-0.02604810694696763,0.04023162372401286,2.834745780862947,302,True,1.0,0.1,0.5441025822864276,False,1.0
LEVEL,pooled,oil,asset_price,a,2,0.0007996754409487654,0.0002817456504677459,0.033344811994419354,0.023982004789308765,0.980866962677279,-0.05404765950808686,0.05564701038998439,-0.09362204702038729,0.09522139790228482,2.831676558174586,301,True,4.0,0.1,1.0,False,4.0
LEVEL,pooled,dxy,asset_price,a,2,0.0036823748688375782,0.0012973927290499288,0.004056903364114653,0.9076811889112353,0.3640466853224331,-0.002990637343818038,0.010355387081493195,-0.007807525981281458,0.015172275718956615,2.832184998970638,301,True,2.0,0.03333333333333333,1.0,False,4.0
LEVEL,pooled,vix,asset_price,a,2,-1.941206206071668,-0.6839354783395535,1.4026039830284118,-1.3840016352159081,0.16635795403762432,-4.2482844547325325,0.3658720425891966,-5.772670415002061,1.890258002858725,2.7316792589293404,301,True,1.0,0.025,0.6654318161504973,False,4.0
LEVEL,pooled,us10y,asset_price,a,2,0.029934737025480513,0.010546756250033797,0.05332706187209721,0.561342327414883,0.5745641917891491,-0.057780474109504154,0.11764994816046517,-0.1198091364264008,0.17967861047736183,2.808027822928552,301,True,3.0,0.05,1.0,False,4.0
LEVEL,pooled,ip,real_macro,a,2,-0.6160393403748037,-0.21704606116413225,0.5734140661575544,-1.0743359410467224,0.2826721419881708,-1.5592215468390485,0.3271428660894411,-2.240094452953876,1.0080157722042686,2.8322554475544344,301,True,2.0,0.05,0.6859169441516818,False,3.0
LEVEL,pooled,cpi,real_macro,a,2,-0.10842805313598945,-0.0382019139208602,0.09006608331837108,-1.2038721918517468,0.22863898138389394,-0.25657357694752564,0.03971747067554672,-0.3608225207182831,0.14396641444630415,2.802325340273921,301,True,1.0,0.03333333333333333,0.6859169441516818,False,3.0
LEVEL,pooled,infl_exp,real_macro,a,2,0.09726788788970725,0.03426990869019967,0.19186227228549582,0.506967246509883,0.6121778003560454,-0.2183174665542415,0.412853242333656,-0.44343729548006144,0.637973071259476,2.8181944106509174,301,True,3.0,0.1,0.6859169441516818,False,3.0
LEVEL,pooled,freight,physical_channel,a,2,0.009790088999040467,0.0034492931155910072,0.00872205239536914,1.122452440693705,0.26167011820208796,-0.004556410517943237,0.024136588516024172,-0.01493471222919776,0.034514890227278695,2.834745780862947,301,True,1.0,0.1,0.26167011820208796,False,1.0
LEVEL,pooled,oil,asset_price,a,6,-0.005615655443450409,-0.001978535809278458,0.03266659108937496,-0.17190821742269094,0.8635096861952338,-0.05934741627694945,0.04811610539004864,-0.0981168756667083,0.08688556477980748,2.831676558174586,297,True,3.0,0.05,1.0,False,4.0
LEVEL,pooled,dxy,asset_price,a,6,-0.004851603567872615,-0.0017093412315128031,0.00514729150812283,-0.9425546542713586,0.3459087432358504,-0.013318144673984966,0.003614937538239736,-0.019429685362507047,0.009726478226761818,2.832184998970638,297,True,1.0,0.025,1.0,False,4.0
LEVEL,pooled,vix,asset_price,a,6,-0.367344612166297,-0.1294246908193423,1.4474153106612964,-0.2537935100316607,0.7996550875736784,-2.7481309356126222,2.0134417112800285,-4.321218995356528,3.586529771023934,2.7316792589293404,297,True,2.0,0.03333333333333333,1.0,False,4.0
LEVEL,pooled,us10y,asset_price,a,6,-0.0005571833860597161,-0.00019630963700593843,0.07911352809402142,-0.0070428332484115605,0.9943806785412841,-0.13068735701243805,0.1295729902403186,-0.22271017144411154,0.22159580467199208,2.808027822928552,297,True,4.0,0.1,1.0,False,4.0
LEVEL,pooled,ip,real_macro,a,6,0.17791191620235922,0.06268281603962415,0.24834301187370053,0.7163959028283012,0.47374692411553887,-0.23057598760614964,0.5863998200108681,-0.5254589320390046,0.8812827644437231,2.8322554475544344,297,True,1.0,0.03333333333333333,1.0,False,3.0
LEVEL,pooled,cpi,real_macro,a,6,0.042861747251322135,0.015101265139742588,0.06906189987815375,0.6206279776105685,0.5348444271261334,-0.0707349692474185,0.15645846375006278,-0.15067216482468856,0.23639565932733284,2.802325340273921,297,True,3.0,0.1,1.0,False,3.0
LEVEL,pooled,infl_exp,real_macro,a,6,0.04428753006857486,0.015603604072142466,0.07103148212245577,0.6234915666299166,0.5329615424598422,-0.07254886092828518,0.16112392106543488,-0.15589299582918056,0.24446805596633028,2.8181944106509174,297,True,2.0,0.05,1.0,False,3.0
LEVEL,pooled,freight,physical_channel,a,6,0.0026156601820712167,0.0009215624760538988,0.005570950727288634,0.4695177376562889,0.6386996092485768,-0.006547738327277435,0.011779058691419868,-0.013176568887505605,0.01840788925164804,2.834745780862947,297,True,1.0,0.1,0.6386996092485768,False,1.0
LEVEL,pooled,oil,asset_price,b,1,-0.04783875395325085,-0.016854789030577043,0.05366301231887427,-0.8914660561540091,0.3726791938077152,-0.13610655439909272,0.04042904649259102,-0.19835236172849963,0.10267485382199792,2.8047923750696784,302,True,1.0,0.025,1.0,False,4.0
LEVEL,pooled,dxy,asset_price,b,1,0.0020130544614714693,0.0007092494149893683,0.004332305746060975,0.46466121725175596,0.6421740856936862,-0.005112954357999629,0.009139063280942567,-0.010215684178115862,0.0142417931010588,2.822685968252809,302,True,4.0,0.1,1.0,False,4.0
LEVEL,pooled,vix,asset_price,b,1,-1.0972870694732904,-0.3866016677613665,1.9459234970564943,-0.5638901380928408,0.5728289020734798,-4.298046391376758,2.1034722524301768,-6.428740382440878,4.234166243494297,2.739806226211988,302,True,3.0,0.05,1.0,False,4.0
LEVEL,pooled,us10y,asset_price,b,1,0.06865929076739849,0.024190384682770533,0.09088270838116953,0.7554714421519635,0.44996616111728305,-0.08082946174054118,0.21814804327533815,-0.18810931394507238,0.3254278954798694,2.82527456857428,302,True,2.0,0.03333333333333333,1.0,False,4.0
LEVEL,pooled,ip,real_macro,b,1,0.09712459178040415,0.034219421888357665,0.5986479338814099,0.16223991812797972,0.8711169260689028,-0.8875636335314381,1.0818128170922463,-1.5952688825715369,1.7895180661323453,2.827026334792627,302,True,3.0,0.1,1.0,False,3.0
LEVEL,pooled,cpi,real_macro,b,1,0.09642406444804155,0.03397260859533873,0.09941398805401146,0.9699245180231028,0.33208411789625314,-0.06709739437230952,0.2599455232683926,-0.18427135463656089,0.377119483532644,2.8235002395447717,302,True,1.0,0.03333333333333333,0.9962523536887594,False,3.0
LEVEL,pooled,infl_exp,real_macro,b,1,-0.05213540484645326,-0.018368606560476265,0.12916161132997253,-0.40364473863105954,0.6864739818095462,-0.26458734970545494,0.16031654001254841,-0.4168288006706077,0.3125579909777012,2.8235432499557684,302,True,2.0,0.05,1.0,False,3.0
LEVEL,pooled,freight,physical_channel,b,1,0.009241019734390584,0.0032558422864182508,0.011813680998315493,0.7822303425755492,0.4340792154396459,-0.010190756303336343,0.02867279577211751,-0.024176398031101526,0.0426584374998827,2.828704937119691,302,True,1.0,0.1,0.4340792154396459,False,1.0
LEVEL,pooled,oil,asset_price,b,2,-0.006574931408724376,-0.0023165127146258673,0.035079294576522646,-0.18743054807962842,0.8513230730839911,-0.06427523632381676,0.051125373506368005,-0.10496506935977822,0.09181520654232946,2.8047923750696784,301,True,4.0,0.1,1.0,False,4.0
LEVEL,pooled,dxy,asset_price,b,2,0.0016366750528343653,0.0005766415394951395,0.0041485171799285426,0.3945204953598762,0.6931967985885479,-0.005187028477041591,0.008460378582710322,-0.010073286180005645,0.013346636285674377,2.822685968252809,301,True,2.0,0.03333333333333333,1.0,False,4.0
LEVEL,pooled,vix,asset_price,b,2,-2.2132984326996405,-0.7798003723365008,1.670233910251564,-1.3251427953383381,0.1851237943465388,-4.960588737834265,0.5339918724349841,-6.789415699237271,2.3628188338379896,2.739806226211988,301,True,1.0,0.025,0.7404951773861552,False,4.0
LEVEL,pooled,us10y,asset_price,b,2,0.018943859779203872,0.006674395414130923,0.06149857494533463,0.3080373780375049,0.7580538907009167,-0.08221229427197672,0.12010001383038447,-0.15480650001740945,0.1926942195758172,2.82527456857428,301,True,3.0,0.05,1.0,False,4.0
LEVEL,pooled,ip,real_macro,b,2,-0.5946354508501727,-0.2095049357676812,0.5818515514884096,-1.0219710668968074,0.3067945945469315,-1.5516960856632245,0.36242518396287915,-2.239545109847855,1.0502742081475094,2.827026334792627,301,True,2.0,0.05,0.690594402725937,False,3.0
LEVEL,pooled,cpi,real_macro,b,2,-0.11329379144813721,-0.039916235176162745,0.09442340371502507,-1.1998486285250212,0.230198134241979,-0.2686064695178993,0.04201888662162488,-0.3798982944561432,0.15331071155986875,2.8235002395447717,301,True,1.0,0.03333333333333333,0.690594402725937,False,3.0
LEVEL,pooled,infl_exp,real_macro,b,2,0.09266111320362036,0.032646826794687195,0.20123957839750428,0.46045173589356675,0.6451920069458115,-0.23834853720969967,0.4236707636169404,-0.47554754000459754,0.6608697664118383,2.8235432499557684,301,True,3.0,0.1,0.690594402725937,False,3.0
LEVEL,pooled,freight,physical_channel,b,2,0.009353295710755653,0.0032953999198943357,0.008474329256615985,1.1037210648209652,0.26971415505282414,-0.004585735502970123,0.02329232692448143,-0.01461808129621182,0.03332467271772313,2.828704937119691,301,True,1.0,0.1,0.26971415505282414,False,1.0
LEVEL,pooled,oil,asset_price,b,6,0.012887660342776499,0.004540644942121682,0.03530522155210032,0.36503553231518543,0.7150848827168995,-0.045184261377521004,0.070959582063074,-0.08613615586670016,0.11191147655225316,2.8047923750696784,297,True,2.0,0.03333333333333333,1.0,False,4.0
LEVEL,pooled,dxy,asset_price,b,6,-0.004052067630259251,-0.001427644731557831,0.004599116689373746,-0.881053450898854,0.37828889031050084,-0.011616941397548704,0.0035128061370302017,-0.017033929775711835,0.008929794515193334,2.822685968252809,297,True,1.0,0.025,1.0,False,4.0
LEVEL,pooled,vix,asset_price,b,6,-0.3711185430803519,-0.13075434103210762,1.4934314150620722,-0.24850056007756266,0.8037471367872343,-2.827594622748471,2.0853575365877672,-4.462831232487997,3.720594146327293,2.739806226211988,297,True,3.0,0.05,1.0,False,4.0
LEVEL,pooled,us10y,asset_price,b,6,0.005969035779529789,0.0021030405365126343,0.09220615976119548,0.06473575946540862,0.9483843905879408,-0.1456966005309395,0.15763467208999907,-0.25453868245967287,0.26647675401873244,2.82527456857428,297,True,4.0,0.1,1.0,False,4.0
LEVEL,pooled,ip,real_macro,b,6,0.2366166937964659,0.08336597685945936,0.25694447357513517,0.9208864876686089,0.3571096939777577,-0.18601935548873186,0.6592527430816637,-0.48977209957986945,0.9630054871728012,2.827026334792627,297,True,1.0,0.03333333333333333,1.0,False,3.0
LEVEL,pooled,cpi,real_macro,b,6,0.04842045724458771,0.017059737643232303,0.07049192862675442,0.6868936371562158,0.4921497568636112,-0.06752844722793361,0.16436936171710903,-0.15061352011902635,0.24745443460820177,2.8235002395447717,297,True,3.0,0.1,1.0,False,3.0
LEVEL,pooled,infl_exp,real_macro,b,6,0.06646283880492139,0.02341651974307068,0.07585606317523727,0.876170420964026,0.3809373940906847,-0.05830928183512764,0.19123495944497043,-0.14772003634173814,0.28064571395158094,2.8235432499557684,297,True,2.0,0.05,1.0,False,3.0
LEVEL,pooled,freight,physical_channel,b,6,0.0031327510891835902,0.001103746530377841,0.006103577402655377,0.5132647433652072,0.6077661427613057,-0.006906740338953152,0.013172242517320333,-0.014132468443799853,0.020397970622167035,2.828704937119691,297,True,1.0,0.1,0.6077661427613057,False,1.0
LEVEL,pooled,oil,asset_price,c,1,-0.04438215416731331,-0.015636942507817518,0.053103075539823213,-0.8357737045574717,0.40328222217040244,-0.13172894057126955,0.042964632236642916,-0.19514326245400146,0.10637895411937484,2.839027810613887,302,True,1.0,0.025,1.0,False,4.0
LEVEL,pooled,dxy,asset_price,c,1,0.0013767265496650604,0.00048505518287693606,0.004106166852985023,0.3352826611671257,0.7374118719353812,-0.005377316891335268,0.00813076999066539,-0.010299373237703774,0.013052826337033894,2.843552199755537,302,True,4.0,0.1,1.0,False,4.0
LEVEL,pooled,vix,asset_price,c,1,-1.4255868675349082,-0.5022698944153676,1.9341881390351512,-0.7370466392406101,0.4610939873941313,-4.607043243233395,1.7558695081635787,-6.7318462176530245,3.8806724825832086,2.743403934203157,302,True,2.0,0.03333333333333333,1.0,False,4.0
LEVEL,pooled,us10y,asset_price,c,1,0.06052819891787162,0.021325597739407703,0.0968840076679602,0.6247491239763037,0.5321357264429746,-0.09883181248836695,0.21988821032411018,-0.2126189226848906,0.33367532052063387,2.819321043560554,302,True,3.0,0.05,1.0,False,4.0
LEVEL,pooled,ip,real_macro,c,1,0.08242473222223132,0.02904029385600477,0.5364324807500442,0.15365350753366833,0.8778829449439473,-0.7999281793540547,0.9647776437985174,-1.4326631630334878,1.5975126274779505,2.824377623698906,302,True,3.0,0.1,1.0,False,3.0
LEVEL,pooled,cpi,real_macro,c,1,0.09812427239482935,0.03457163436175444,0.10426178658336759,0.9411336176976913,0.34663638970820765,-0.07337110541926317,0.26961965020892187,-0.19605715973919696,0.39230570452885566,2.8215652328075085,302,True,1.0,0.03333333333333333,1.0,False,3.0
LEVEL,pooled,infl_exp,real_macro,c,1,-0.06271496882413637,-0.022096051448643635,0.1371067111176134,-0.4574172067356934,0.6473711990093296,-0.2882354398853305,0.1628055022370578,-0.4504068449111028,0.3249769072628301,2.8276652027222435,302,True,2.0,0.05,1.0,False,3.0
LEVEL,pooled,freight,physical_channel,c,1,0.008472193977970272,0.002984965751080365,0.01146398864878793,0.739026724251513,0.4598907698206116,-0.01038438933031906,0.027328777286259605,-0.02403080737288,0.04097519532882054,2.8352262329121167,302,True,1.0,0.1,0.4598907698206116,False,1.0
