measure,channel,outcome,family,battery,horizon,beta,se,tstat,pvalue,ci_low,ci_high,ci_low_supt,ci_high_supt,supt_c,nobs,converged,rank,threshold,pvalue_adj,reject,family_size
LEVEL,pooled,oil,asset_price,a,1,-0.05330593706226892,0.09878883955044611,-0.5395947285629209,0.5894765527826131,-0.21579911809914723,0.10918724397460941,-0.33489011390608936,0.2282782397815515,2.8503642529380118,224,True,2.0,0.03333333333333333,1.0,False,4.0
LEVEL,pooled,dxy,asset_price,a,1,0.010268622998302678,0.00657251299062521,1.5623587222953326,0.1182035054632418,-0.0005421988325128666,0.02107944482911822,-0.00828430601781277,0.028821552014418127,2.8228059864740715,224,True,1.0,0.025,0.4728140218529672,False,4.0
LEVEL,pooled,vix,asset_price,a,1,0.19066080771526916,2.9704724991412967,0.06418534686666358,0.9488226448416357,-4.695331656256896,5.076653271687435,-7.986257852597498,8.367579468028037,2.7527333320461804,224,True,4.0,0.1,1.0,False,4.0
LEVEL,pooled,us10y,asset_price,a,1,0.010311954436253747,0.10203021517821736,0.10106765352049621,0.9194967552837692,-0.15751281505827625,0.17813672393078372,-0.27833886736526886,0.2989627762377764,2.829071969487988,224,True,3.0,0.05,1.0,False,4.0
LEVEL,pooled,ip,real_macro,a,1,0.3896438661905409,0.7919322046428363,0.49201669525015895,0.622707541213393,-0.9129686929159039,1.6922564252969856,-1.84308159124387,2.622369323624952,2.8193391357804125,224,True,3.0,0.1,0.622707541213393,False,3.0
LEVEL,pooled,cpi,real_macro,a,1,0.14627645221263222,0.11544631629733579,1.2670517077036256,0.205136801590027,-0.04361583986722742,0.3361687442924919,-0.1783059545557932,0.4708588589810576,2.811544076750381,224,True,1.0,0.03333333333333333,0.615410404770081,False,3.0
LEVEL,pooled,infl_exp,real_macro,a,1,-0.15857611547843,0.1444869508229317,-1.09751167545064,0.27241777974384096,-0.3962360005866882,0.07908376962982819,-0.5644442395841958,0.24729200862733572,2.8090296168209394,224,True,2.0,0.05,0.615410404770081,False,3.0
LEVEL,pooled,freight,physical_channel,a,1,0.018895173008718798,0.012594153005944865,1.500313121477851,0.1335333121019747,-0.0018203652414913972,0.039610711258928996,-0.016446454884412896,0.05423680090185049,2.806193308628953,224,True,1.0,0.1,0.1335333121019747,False,1.0
LEVEL,pooled,oil,asset_price,a,2,0.006009829287818746,0.051068536880777914,0.11768164225752142,0.906319913049754,-0.07799043882363382,0.09001009739927132,-0.1395541026869971,0.15157376126263458,2.8503642529380118,223,True,4.0,0.1,1.0,False,4.0
LEVEL,pooled,dxy,asset_price,a,2,0.0024334769777265984,0.00618195278469592,0.393642116411974,0.6938452821704694,-0.00773493048182324,0.012601884437276436,-0.015016976351013102,0.019883930306466298,2.8228059864740715,223,True,2.0,0.03333333333333333,1.0,False,4.0
LEVEL,pooled,vix,asset_price,a,2,-2.063039933120348,2.4640255833736853,-0.8372640069327862,0.4024441861893594,-6.116001350833772,1.9899214845930757,-8.845845287487627,4.71976542124693,2.7527333320461804,223,True,1.0,0.025,1.0,False,4.0
LEVEL,pooled,us10y,asset_price,a,2,0.024338507619480632,0.07942175618183943,0.3064463541168317,0.759264819362242,-0.10629865609507345,0.15497567133403473,-0.20035135656207062,0.2490283718010319,2.829071969487988,223,True,3.0,0.05,1.0,False,4.0
LEVEL,pooled,ip,real_macro,a,2,-1.121970415778162,0.9855576310787595,-1.1384117786699999,0.2549485779671482,-2.743068459827761,0.49912762827143653,-3.900591615645542,1.6566507840892182,2.8193391357804125,223,True,2.0,0.05,0.5098971559342964,False,3.0
LEVEL,pooled,cpi,real_macro,a,2,-0.04144248341772504,0.16029039482402144,-0.25854626824784877,0.7959853454686661,-0.3050967207095002,0.22221175387405012,-0.4921059935451825,0.40922102670973237,2.811544076750381,223,True,3.0,0.1,0.7959853454686661,False,3.0
LEVEL,pooled,infl_exp,real_macro,a,2,-0.19500672977058348,0.11033132628600913,-1.7674647476372434,0.07715042778447449,-0.3764856119784919,-0.013527847562675055,-0.5049306929711177,0.1149172334299508,2.8090296168209394,223,True,1.0,0.03333333333333333,0.23145128335342346,False,3.0
LEVEL,pooled,freight,physical_channel,a,2,0.016691390172907012,0.013733166171530557,1.2154072822266566,0.22421079194832005,-0.00589765801386229,0.03928043835967632,-0.021846528843931536,0.05522930918974556,2.806193308628953,223,True,1.0,0.1,0.22421079194832005,False,1.0
LEVEL,pooled,oil,asset_price,a,6,-0.0034342883160473625,0.05636161669713922,-0.06093310513964868,0.9514124843313637,-0.09614089796118545,0.08927232132909073,-0.16408542578736715,0.15721684915527243,2.8503642529380118,219,True,4.0,0.1,1.0,False,4.0
LEVEL,pooled,dxy,asset_price,a,6,0.0025642121526333436,0.0063065719439244885,0.40659365744707127,0.6843064563789255,-0.0078091755829612485,0.012937599888227935,-0.015238016884806124,0.02036644119007281,2.8228059864740715,219,True,3.0,0.05,1.0,False,4.0
LEVEL,pooled,vix,asset_price,a,6,1.7270118858632055,2.53896187416808,0.6802039461223027,0.49637533407036283,-2.449208761553668,5.903232533280079,-5.26207309395371,8.71609686568012,2.7527333320461804,219,True,2.0,0.03333333333333333,1.0,False,4.0
LEVEL,pooled,us10y,asset_price,a,6,0.09814919906221534,0.09672737042946825,1.0146993413181211,0.3102491682164381,-0.06095316701417408,0.25725156513860475,-0.17549949330207457,0.3717978914265052,2.829071969487988,219,True,1.0,0.025,1.0,False,4.0
LEVEL,pooled,ip,real_macro,a,6,0.14147986301986037,0.42273904011999824,0.3346742306546849,0.7378708424937965,-0.5538639803755027,0.8368237064152234,-1.0503648570126967,1.3333245830524174,2.8193391357804125,219,True,3.0,0.1,0.896143409759433,False,3.0
LEVEL,pooled,cpi,real_macro,a,6,0.08639981955994959,0.11388871738197043,0.7586337044272257,0.4480717048797165,-0.10093045029463564,0.2737300894145348,-0.23380332920402758,0.40660296832392673,2.811544076750381,219,True,2.0,0.05,0.896143409759433,False,3.0
LEVEL,pooled,infl_exp,real_macro,a,6,0.1480151065369047,0.11668763302491178,1.2684729538159778,0.20462910330475537,-0.04391896986450383,0.3399491829383132,-0.17976391054680563,0.475794123620615,2.8090296168209394,219,True,1.0,0.03333333333333333,0.6138873099142661,False,3.0
LEVEL,pooled,freight,physical_channel,a,6,-0.0008644926632719508,0.009260330463053124,-0.0933544074610625,0.9256220098536012,-0.016096380812194087,0.014367395485650187,-0.02685077004438448,0.025121784717840583,2.806193308628953,219,True,1.0,0.1,0.9256220098536012,False,1.0
LEVEL,pooled,oil,asset_price,b,1,-0.05506140409268035,0.09695995747424505,-0.567877766523423,0.5701179699056385,-0.2145463418132528,0.10442353362789211,-0.32972567691543664,0.21960286873007595,2.8327598317657463,224,True,2.0,0.03333333333333333,1.0,False,4.0
LEVEL,pooled,dxy,asset_price,b,1,0.010264331618751475,0.006369561492326911,1.6114659747168463,0.10707819753752373,-0.0002126647039928757,0.020741327941495826,-0.0076647824811667264,0.028193445718669677,2.8148113683361875,224,True,1.0,0.025,0.42831279015009494,False,4.0
LEVEL,pooled,vix,asset_price,b,1,0.4405277497228308,2.9826714356199053,0.14769570139772148,0.8825829242185977,-4.465530179161125,5.346585678606787,-7.780947580982302,8.662003080427963,2.75641333890215,224,True,3.0,0.05,1.0,False,4.0
LEVEL,pooled,us10y,asset_price,b,1,0.002299439640709857,0.10193695482488481,0.022557468433896347,0.982003270459528,-0.16537193022339028,0.16997080950481,-0.28612338606599935,0.290722265347419,2.8294236001279836,224,True,4.0,0.1,1.0,False,4.0
LEVEL,pooled,ip,real_macro,b,1,0.33790119618433856,0.8168783829021325,0.4136493304962648,0.6791309401780774,-1.0057441747104876,1.6815465670791647,-1.9535999884643673,2.6294023808330445,2.8051925875522192,224,True,3.0,0.1,0.6791309401780774,False,3.0
LEVEL,pooled,cpi,real_macro,b,1,0.12999248067294966,0.11376410716727273,1.142649328595491,0.2531842159617672,-0.057132823618034845,0.31711778496393417,-0.19338271948643215,0.4533676808323315,2.84250637755112,224,True,2.0,0.05,0.6301172819103174,False,3.0
LEVEL,pooled,infl_exp,real_macro,b,1,-0.18115002232959015,0.1445202231698052,-1.2534579476586227,0.21003909397010578,-0.41886463557828046,0.05656459091910013,-0.5892344098776181,0.22693436521843785,2.8237182215567573,224,True,1.0,0.03333333333333333,0.6301172819103174,False,3.0
