measure,channel,outcome,family,battery,tau,horizon,beta,se,pvalue,ci_low,ci_high,nobs,converged
LEVEL,pooled,oil,asset_price,a,0.1,0,-0.030945348338775602,0.04614326438891243,0.5029769417269871,-0.10684426412825893,0.04495356745070772,309,True
LEVEL,pooled,oil,asset_price,a,0.1,1,-0.026431117466213294,0.04766079947482788,0.5796123283940526,-0.10482615634579076,0.05196392141336417,308,True
LEVEL,pooled,oil,asset_price,a,0.1,2,-0.002758370548674449,0.04435893945434234,0.9504595220215254,-0.0757223329978702,0.07020559190052131,307,True
LEVEL,pooled,oil,asset_price,a,0.1,3,0.03820079318450098,0.06961083945593505,0.5835781942907635,-0.07629884856973043,0.1527004349387324,306,True
LEVEL,pooled,oil,asset_price,a,0.1,4,0.03184202446731632,0.038361388499184475,0.4071886771980515,-0.03125684454046175,0.09494089347509439,305,True
LEVEL,pooled,oil,asset_price,a,0.1,5,-0.04432638170709424,0.031040595261836747,0.15436405627564795,-0.0953836174062591,0.006730853992070615,304,True
LEVEL,pooled,oil,asset_price,a,0.1,6,-0.01989479756281476,0.04166711098721561,0.6333883418510979,-0.08843109619472589,0.04864150106909637,303,True
LEVEL,pooled,oil,asset_price,a,0.1,7,-0.014920032576497988,0.049946655888146584,0.765369614873999,-0.097074970668213,0.06723490551521702,302,True
LEVEL,pooled,oil,asset_price,a,0.1,8,0.03010476280386598,0.043014086116627555,0.4845682170025174,-0.040647112755071824,0.10085663836280379,301,True
LEVEL,pooled,oil,asset_price,a,0.1,9,0.060889282520392385,0.03364512299491964,0.07138412098416948,0.0055479799329704385,0.11623058510781434,300,True
LEVEL,pooled,oil,asset_price,a,0.1,10,0.08303227596431384,0.06816311598482197,0.2241779258818043,-0.029086072587634446,0.19515062451626214,299,True
LEVEL,pooled,oil,asset_price,a,0.1,11,-0.03344985522741695,0.03489458131839818,0.33857694506863123,-0.09084633386993726,0.023946623415103375,298,True
LEVEL,pooled,oil,asset_price,a,0.1,12,-0.018799166599006156,0.06871626355760542,0.784609519205213,-0.13182736194228672,0.0942290287442744,297,True
LEVEL,pooled,oil,asset_price,a,0.1,13,0.06593354371907179,0.0388371648001751,0.09066908823914513,0.0020520923369917177,0.12981499510115185,296,True
LEVEL,pooled,oil,asset_price,a,0.1,14,0.038633320757620826,0.04165547829355049,0.35448950990955197,-0.02988384379592403,0.10715048531116568,295,True
LEVEL,pooled,oil,asset_price,a,0.1,15,-0.07005335524104339,0.029960492697056678,0.02008141093897497,-0.11933398031905015,-0.020772730163036622,294,True
LEVEL,pooled,oil,asset_price,a,0.1,16,0.011124843215732483,0.03081675514140491,0.718372770456363,-0.03956420824948281,0.06181389468094778,293,True
LEVEL,pooled,oil,asset_price,a,0.1,17,-0.07227749166467845,0.03538763529348056,0.04205018204523711,-0.13048497192639588,-0.014070011402961026,292,True
LEVEL,pooled,oil,asset_price,a,0.1,18,-0.014286445172000839,0.0726762897662643,0.8443031678745853,-0.13382830398741682,0.10525541364341515,291,True
LEVEL,pooled,oil,asset_price,a,0.1,19,0.05275250732498371,0.03614239817703273,0.1455443908505226,-0.006696447403232851,0.11220146205320028,290,True
LEVEL,pooled,oil,asset_price,a,0.1,20,0.04740070907973859,0.03615114122880497,0.1908901897453486,-0.01206262668889617,0.10686404484837335,289,False
LEVEL,pooled,oil,asset_price,a,0.1,21,-0.03218118109160173,0.03291399224180232,0.32906757715913404,-0.08631988060798289,0.02195751842477943,288,True
LEVEL,pooled,oil,asset_price,a,0.1,22,-0.0470630638422449,0.033220365829701594,0.1577127492805905,-0.10170570306588432,0.007579575381394518,287,True
LEVEL,pooled,oil,asset_price,a,0.1,23,-0.0024155924702196074,0.08238715604713887,0.9766308669777343,-0.1379304049085729,0.13309921996813368,286,True
LEVEL,pooled,oil,asset_price,a,0.1,24,0.06059878773991656,0.06836701841398807,0.37620158835463346,-0.0518549504621898,0.17305252594202292,285,True
LEVEL,pooled,dxy,asset_price,a,0.1,0,-0.008473342590455957,0.006417848549026241,0.18776576438128526,-0.01902976405354701,0.0020830788726350982,309,False
