measure,channel,outcome,family,battery,tau,horizon,beta,se,pvalue,ci_low,ci_high,nobs,converged
LEVEL,pooled,oil,asset_price,a,0.1,0,-0.043794486311782066,0.044942240546444474,0.3306423403213057,-0.11771789367792677,0.030128921054362642,303,True
LEVEL,pooled,oil,asset_price,a,0.1,1,-0.03165010282785374,0.044716389108733906,0.47964404675004957,-0.10520201763752801,0.041901811981820525,302,True
LEVEL,pooled,oil,asset_price,a,0.1,2,-0.023147644777903764,0.046924888419782235,0.6221839304413189,-0.10033221768947571,0.054036928133668186,301,True
LEVEL,pooled,oil,asset_price,a,0.1,3,0.04630693436294209,0.06983981460923587,0.5078358149621863,-0.06856933800267795,0.16118320672856212,300,True
LEVEL,pooled,oil,asset_price,a,0.1,4,0.024953032904527106,0.03877574376037028,0.5204031049649391,-0.03882738985745887,0.08873345566651308,299,True
LEVEL,pooled,oil,asset_price,a,0.1,5,-0.07632066555362371,0.03206144192944211,0.01795125657006974,-0.1290570445965606,-0.02358428651068685,298,True
LEVEL,pooled,oil,asset_price,a,0.1,6,-0.03799687890112935,0.04316700312838925,0.3794817472825068,-0.10900028056148596,0.03300652275922726,297,True
LEVEL,pooled,oil,asset_price,a,0.1,7,0.0006977230553388836,0.04565722690838764,0.9878181953742136,-0.07440173222146887,0.07579717833214664,296,True
LEVEL,pooled,oil,asset_price,a,0.1,8,0.011590977383491463,0.045453970705221884,0.798905982658759,-0.06317415119033871,0.08635610595732164,295,True
LEVEL,pooled,oil,asset_price,a,0.1,9,0.03828315252488501,0.03565532221374827,0.2838811807555964,-0.020364633538522227,0.09693093858829224,294,True
LEVEL,pooled,oil,asset_price,a,0.1,10,0.08251598046955166,0.037436555829269864,0.028329974524666575,0.020938325833205852,0.14409363510589748,293,True
LEVEL,pooled,oil,asset_price,a,0.1,11,-0.06983560034472269,0.037157291981121755,0.06122777247510352,-0.13095390682756566,-0.008717293861879721,292,True
LEVEL,pooled,oil,asset_price,a,0.1,12,-0.014123942135253031,0.07588839552291328,0.8524910756051237,-0.13894924475464482,0.11070136048413874,291,True
LEVEL,pooled,oil,asset_price,a,0.1,13,0.042433711623850456,0.040345631940377616,0.2938320303706983,-0.023928947404928833,0.10879637065262975,290,True
LEVEL,pooled,oil,asset_price,a,0.1,14,0.0380876928327083,0.041447696594909815,0.35893545313680936,-0.030087701240213302,0.1062630869056299,289,True
LEVEL,pooled,oil,asset_price,a,0.1,15,-0.06831829617482299,0.030161418220013197,0.02428824310097795,-0.1179294143280119,-0.018707178021634067,288,True
LEVEL,pooled,oil,asset_price,a,0.1,16,0.02406133701425972,0.037982894472124204,0.5269517315373119,-0.0384149647203288,0.08653763874884823,287,True
LEVEL,pooled,oil,asset_price,a,0.1,17,-0.06399472640100612,0.037172848603438426,0.08628896008977718,-0.12513862125048977,-0.0028508315515224578,286,True
LEVEL,pooled,oil,asset_price,a,0.1,18,-0.013708576793477256,0.07377957165179427,0.8527370682099593,-0.13506517281985708,0.10764801923290257,285,True
LEVEL,pooled,oil,asset_price,a,0.1,19,0.05982961627824368,0.039572237748728145,0.1317265834162074,-0.005260922509337768,0.12492015506582513,284,True
LEVEL,pooled,oil,asset_price,a,0.1,20,0.050485505856855184,0.039118012249779545,0.19795235982997975,-0.013857898471326818,0.11482891018503719,283,True
LEVEL,pooled,oil,asset_price,a,0.1,21,-0.025705136829742514,0.034564147676587116,0.4577133323977587,-0.08255810049806314,0.031147826838578106,282,True
LEVEL,pooled,oil,asset_price,a,0.1,22,-0.03718130236734396,0.04219653182348178,0.3790313299731854,-0.10658842078197119,0.032225816047283265,281,True
LEVEL,pooled,oil,asset_price,a,0.1,23,0.0003413176734727852,0.08312413989970781,0.9967268773604921,-0.13638572532778317,0.13706836067472875,280,True
LEVEL,pooled,oil,asset_price,a,0.1,24,0.07657204051922317,0.07372706773569848,0.2999431361483178,-0.044698194250337345,0.19784227528878368,279,True
LEVEL,pooled,dxy,asset_price,a,0.1,0,-0.009503849262614494,0.006582641653142999,0.14988559661270356,-0.02033133126070859,0.0013236327354796025,303,False
LEVEL,pooled,dxy,asset_price,a,0.1,1,-0.0016121757977538564,0.005454585057174708,0.7677764950134245,-0.010584169812562978,0.007359818217055265,302,True
LEVEL,pooled,dxy,asset_price,a,0.1,2,0.007182200016488061,0.00469753871850406,0.12738359217389855,-0.0005445635823883134,0.014908963615364434,301,True
LEVEL,pooled,dxy,asset_price,a,0.1,3,0.0020371254771305303,0.005107141276658684,0.69028087175728,-0.006363374375135077,0.010437625329396138,300,True
LEVEL,pooled,dxy,asset_price,a,0.1,4,0.010014370164695974,0.005710789877409882,0.08057616286738606,0.0006209567220805765,0.019407783607311373,299,True
LEVEL,pooled,dxy,asset_price,a,0.1,5,0.00041778625912125555,0.007189974338550184,0.9537044363107487,-0.011408669109331028,0.01224424162757354,298,True
LEVEL,pooled,dxy,asset_price,a,0.1,6,-0.004739851407757428,0.011540768508078595,0.6815996469679276,-0.023722726346077836,0.01424302353056298,297,True
LEVEL,pooled,dxy,asset_price,a,0.1,7,-0.021468182511621636,0.006141538637156222,0.0005492430638428529,-0.03157011461401065,-0.011366250409232623,296,True
LEVEL,pooled,dxy,asset_price,a,0.1,8,-0.010091461686757633,0.012276386828454645,0.41176123976479856,-0.030284321087400538,0.010101397713885272,295,True
LEVEL,pooled,dxy,asset_price,a,0.1,9,0.002001718804827135,0.006215459027294246,0.7476514450602197,-0.008221801519386075,0.012225239129040345,294,True
LEVEL,pooled,dxy,asset_price,a,0.1,10,0.0010526924606526489,0.005423241170581905,0.8462328649799363,-0.007867745448611546,0.009973130369916844,293,True
LEVEL,pooled,dxy,asset_price,a,0.1,11,5.746214979041042e-05,0.005850464271382346,0.99217049978228,-0.009565695226342843,0.009680619525923664,292,True
LEVEL,pooled,dxy,asset_price,a,0.1,12,0.004582764144459794,0.0046013868823149996,0.3201422941040452,-0.00298584375792296,0.012151372046842548,291,True
LEVEL,pooled,dxy,asset_price,a,0.1,13,-0.00538381842085478,0.005255893126543446,0.3065719430484924,-0.01402899329291908,0.0032613564512095194,290,True
LEVEL,pooled,dxy,asset_price,a,0.1,14,-0.0055515751658812285,0.00538983561885964,0.30391117773635706,-0.01441706583223474,0.0033139155004722823,289,True
LEVEL,pooled,dxy,asset_price,a,0.1,15,0.004507861207244002,0.01085046682091608,0.6781353221516683,-0.013339568497256423,0.022355290911744426,288,True
LEVEL,pooled,dxy,asset_price,a,0.1,16,0.010810646648258704,0.01067063558991911,0.3118993570089734,-0.006740987003697206,0.028362280300214614,287,True
LEVEL,pooled,dxy,asset_price,a,0.1,17,-0.0012025786196581123,0.005468208117505763,0.8260969555815972,-0.010196980574662949,0.007791823335346724,286,True
LEVEL,pooled,dxy,asset_price,a,0.1,18,-0.0060255565908420294,0.005705236905617508,0.2918426426863987,-0.015409836207664382,0.003358723025980323,285,False
LEVEL,pooled,dxy,asset_price,a,0.1,19,-0.008242987219057474,0.007209133410935751,0.25388163830361826,-0.02010095645721218,0.003614982019097235,284,True
LEVEL,pooled,dxy,asset_price,a,0.1,20,-0.0066449315772643125,0.00544136288515257,0.22308376063235863,-0.015595177054466645,0.0023053138999380197,283,True
LEVEL,pooled,dxy,asset_price,a,0.1,21,-0.006720951951349363,0.005718073805627418,0.24088291883271934,-0.01612634638971183,0.002684442487013102,282,True
LEVEL,pooled,dxy,asset_price,a,0.1,22,0.009130791932564719,0.005593642989413099,0.10378421052691786,-6.993202644309249e-05,0.01833151589157253,281,True
LEVEL,pooled,dxy,asset_price,a,0.1,23,-0.009718892692466174,0.01128313014702117,0.3898128699454691,-0.028277990238159443,0.008840204853227094,280,True
LEVEL,pooled,dxy,asset_price,a,0.1,24,0.0016177586251573395,0.010200761235567617,0.8741111611401453,-0.015161000490832036,0.018396517741146715,279,True
LEVEL,pooled,vix,asset_price,a,0.1,0,-1.4349267967045307,0.5442298636455619,0.00882642786641151,-2.3301052618172386,-0.539748331591823,303,False
LEVEL,pooled,vix,asset_price,a,0.1,1,-1.0490541458295866,0.9098080747841752,0.24984597176364892,-2.5455552574680738,0.4474469658089004,302,True
LEVEL,pooled,vix,asset_price,a,0.1,2,-0.7274755691041719,0.7163583925197003,0.31071381757711075,-1.9057802692373274,0.4508291310289836,301,True
LEVEL,pooled,vix,asset_price,a,0.1,3,0.17381335089885397,0.7828463974327537,0.824451011700934,-1.1138543852643048,1.4614810870620127,300,True
LEVEL,pooled,vix,asset_price,a,0.1,4,-0.3791714515386957,0.8042215082191266,0.6376612968613902,-1.7019981162053093,0.9436552131279179,299,True
LEVEL,pooled,vix,asset_price,a,0.1,5,0.1331631575430947,0.7399582192024958,0.857312014503171,-1.083959803104683,1.3502861181908725,298,True
LEVEL,pooled,vix,asset_price,a,0.1,6,1.2420537560319644,0.9875927394202116,0.2095523113534956,-0.3823917433543109,2.8664992554182396,297,True
LEVEL,pooled,vix,asset_price,a,0.1,7,-0.1725144018419087,1.092180034467989,0.8746059490238384,-1.9689906928205645,1.623961889136747,296,False
LEVEL,pooled,vix,asset_price,a,0.1,8,0.1348069769628637,0.8613807193519846,0.8757504795377903,-1.2820382234493164,1.5516521773750438,295,True
LEVEL,pooled,vix,asset_price,a,0.1,9,-0.9490630269210669,0.900657891019062,0.29290849809813185,-2.430513425606235,0.532387371764101,294,True
LEVEL,pooled,vix,asset_price,a,0.1,10,0.7445498164174182,0.9600955105876378,0.4387036953027858,-0.8346667663924834,2.3237663992273196,293,True
LEVEL,pooled,vix,asset_price,a,0.1,11,1.5056091656133503,0.9849076783258883,0.1274806674801723,-0.11441980129334084,3.1256381325200415,292,False
LEVEL,pooled,vix,asset_price,a,0.1,12,1.7024326028440555,1.3420447111583627,0.2056714767717644,-0.505034507835818,3.909899713523929,291,True
LEVEL,pooled,vix,asset_price,a,0.1,13,1.812318986550963,1.259835233334417,0.15141486767561446,-0.259925566360407,3.884563539462333,290,True
LEVEL,pooled,vix,asset_price,a,0.1,14,0.3995941585176297,1.2347763345997538,0.7464742617118979,-1.63143217392262,2.4306204909578795,289,True
LEVEL,pooled,vix,asset_price,a,0.1,15,-0.9031322412192822,1.2312280136823388,0.46386754961000176,-2.928322105128934,1.1220576226903698,288,False
LEVEL,pooled,vix,asset_price,a,0.1,16,-0.23824754008273885,1.545895525334589,0.8776319845681528,-2.781019401817389,2.304524321651911,287,True
LEVEL,pooled,vix,asset_price,a,0.1,17,-0.7314802560504177,1.3373759094214934,0.5848602352475328,-2.9312678712598847,1.4683073591590494,286,True
LEVEL,pooled,vix,asset_price,a,0.1,18,-0.3671651732220198,1.09618493523921,0.7379232711948559,-2.1702289397597987,1.4358985933157593,285,True
LEVEL,pooled,vix,asset_price,a,0.1,19,-0.05407282576288708,1.0401975909420862,0.9585804977212259,-1.7650456059701614,1.6568999544443872,284,True
LEVEL,pooled,vix,asset_price,a,0.1,20,-1.1923034826768344,1.326308292538942,0.3694757822965461,-3.3738864881153274,0.9892795227616586,283,True
LEVEL,pooled,vix,asset_price,a,0.1,21,-0.7502694771901588,1.2251540359398427,0.5408003985308067,-2.7654685367800433,1.2649295823997257,282,True
LEVEL,pooled,vix,asset_price,a,0.1,22,-0.7491648990039721,1.347302188058618,0.5786436037283972,-2.9652797896318446,1.4669499916239004,281,False
LEVEL,pooled,vix,asset_price,a,0.1,23,-1.0280031609217986,1.2211333560417887,0.40063178156232726,-3.0365887905985582,0.9805824687549611,280,True
LEVEL,pooled,vix,asset_price,a,0.1,24,-1.8253421393765166,1.0420599847593652,0.08098787538431602,-3.5393782848089543,-0.11130599394407881,279,True
LEVEL,pooled,us10y,asset_price,a,0.1,0,-0.034682164295475104,0.07789560354846982,0.6564803220658307,-0.16280903031574964,0.09344470172479943,303,True
LEVEL,pooled,us10y,asset_price,a,0.1,1,-0.08876888857457743,0.101880824368986,0.3843154178200337,-0.25634793205470996,0.07881015490555512,302,True
LEVEL,pooled,us10y,asset_price,a,0.1,2,0.08126000279804657,0.09076386741921394,0.37138221504757446,-0.06803327372259005,0.2305532793186832,301,True
LEVEL,pooled,us10y,asset_price,a,0.1,3,-0.031308420663840764,0.15218275245931745,0.8371488874692731,-0.28162677300600714,0.2190099316783256,300,True
LEVEL,pooled,us10y,asset_price,a,0.1,4,-0.09994769074752341,0.07577181010619502,0.18820731583154254,-0.22458122742137648,0.024685845926329678,299,True
LEVEL,pooled,us10y,asset_price,a,0.1,5,-0.03942593479263223,0.09060668138358322,0.6637965539786325,-0.18846066329245553,0.10960879370719107,298,True
LEVEL,pooled,us10y,asset_price,a,0.1,6,-0.08642551226353135,0.17360893895947932,0.6189995088309138,-0.37198680518222765,0.19913578065516496,297,True
LEVEL,pooled,us10y,asset_price,a,0.1,7,-0.07085399368605749,0.09155540238381747,0.43964294679283095,-0.22144922936408112,0.07974124199196614,296,True
LEVEL,pooled,us10y,asset_price,a,0.1,8,-0.14891788163606634,0.09119939995753239,0.10361374846160015,-0.2989275454320114,0.0010917821598787347,295,True
LEVEL,pooled,us10y,asset_price,a,0.1,9,-0.08253985775182215,0.10607901546435197,0.4371683016443112,-0.2570243110818028,0.09194459557815848,294,True
LEVEL,pooled,us10y,asset_price,a,0.1,10,-0.004903980782490436,0.1814650836333799,0.9784596107504512,-0.3033874817619076,0.29357952019692674,293,True
LEVEL,pooled,us10y,asset_price,a,0.1,11,-0.042451687197399224,0.10072881103291967,0.6737555978817944,-0.2081358373634066,0.12323246296860815,292,True
LEVEL,pooled,us10y,asset_price,a,0.1,12,0.033957419254875276,0.0883387820187305,0.7009770082281188,-0.11134694674910908,0.17926178525885963,291,False
LEVEL,pooled,us10y,asset_price,a,0.1,13,-0.1148809240621631,0.0876958992240132,0.19128780352426453,-0.259127841969552,0.029365993845225813,290,False
LEVEL,pooled,us10y,asset_price,a,0.1,14,0.04317848727424689,0.20153733476247257,0.8305143109872676,-0.2883209287759391,0.3746779033244329,289,False
LEVEL,pooled,us10y,asset_price,a,0.1,15,0.02717703266011995,0.11396929107474613,0.8117031517055289,-0.16028576912526427,0.21463983444550416,288,True
LEVEL,pooled,us10y,asset_price,a,0.1,16,-0.08492778919639932,0.09672451360273995,0.38069523576633363,-0.24402545621098315,0.07416987781818452,287,True
LEVEL,pooled,us10y,asset_price,a,0.1,17,0.17810651381199705,0.08823807741650082,0.0445229527792006,0.03296779213824089,0.32324523548575324,286,True
LEVEL,pooled,us10y,asset_price,a,0.1,18,-0.013365613283895073,0.09380481049301431,0.8868041915037476,-0.16766079604882517,0.14092956948103502,285,True
LEVEL,pooled,us10y,asset_price,a,0.1,19,-0.11826066106277722,0.15137899207550295,0.4353561435594761,-0.3672569452224264,0.13073562309687198,284,False
LEVEL,pooled,us10y,asset_price,a,0.1,20,-0.27250711721936427,0.07851875718679664,0.000604726022424441,-0.40165897976178866,-0.14335525467693985,283,True
LEVEL,pooled,us10y,asset_price,a,0.1,21,0.0747175084646301,0.08982744937106642,0.40626841993247537,-0.07303549743316823,0.22247051436242843,282,True
LEVEL,pooled,us10y,asset_price,a,0.1,22,-0.19827984248078678,0.0841034358112046,0.01911672274048986,-0.336617683913927,-0.059942001047646576,281,True
LEVEL,pooled,us10y,asset_price,a,0.1,23,-0.11628428422626413,0.16098087569499067,0.47071484511074535,-0.3810742614829936,0.14850569303046535,280,True
LEVEL,pooled,us10y,asset_price,a,0.1,24,0.292048856956292,0.17016647766441415,0.08728422695883534,0.012149908984423696,0.5719478049281603,279,True
LEVEL,pooled,ip,real_macro,a,0.1,0,-0.0305027040864303,0.2098275493075736,0.8845198090603841,-0.3756383095993316,0.314632901426471,303,True
LEVEL,pooled,ip,real_macro,a,0.1,1,-0.28745577458562366,0.226294215226148,0.20501212273820457,-0.6596766352584903,0.08476508608724298,302,True
LEVEL,pooled,ip,real_macro,a,0.1,2,0.07399215902177048,0.24024092662917174,0.7583122186036019,-0.3211690004864052,0.46915331852994613,301,True
