measure,channel,outcome,family,battery,tau,horizon,beta,se,pvalue,ci_low,ci_high,nobs,converged
LEVEL,pooled,oil,asset_price,a,0.1,0,-0.08896240582583914,0.06895641810513087,0.19841932036690482,-0.2023856202476458,0.024460808595967526,225,False
LEVEL,pooled,oil,asset_price,a,0.1,1,-0.0011264488920517124,0.071459659548182,0.9874380944336449,-0.11866712908059626,0.11641423129649284,224,True
LEVEL,pooled,oil,asset_price,a,0.1,2,-0.013580016958709251,0.0704512052808534,0.8473358579987609,-0.12946193748802368,0.10230190357060517,223,True
LEVEL,pooled,oil,asset_price,a,0.1,3,0.07015453629568924,0.05395266239874755,0.19493780361321536,-0.018589696134578976,0.15889876872595746,222,True
LEVEL,pooled,oil,asset_price,a,0.1,4,-0.06243830285984586,0.05754578029734768,0.2791749747218608,-0.15709268829769074,0.03221608257799903,221,False
LEVEL,pooled,oil,asset_price,a,0.1,5,-0.013186624056288565,0.048475268060911056,0.7858730342502892,-0.09292134454372297,0.06654809643114584,220,True
LEVEL,pooled,oil,asset_price,a,0.1,6,-0.033098875950457796,0.0633812028617676,0.6020816137243025,-0.13735167735818327,0.07115392545726767,219,True
LEVEL,pooled,oil,asset_price,a,0.1,7,-0.019321036335501418,0.07797889830917723,0.8045595478511762,-0.1475849100450316,0.10894283737402877,218,True
LEVEL,pooled,oil,asset_price,a,0.1,8,0.00409707743546317,0.07399756845900003,0.9558999582541945,-0.11761809142991289,0.12581224630083923,217,True
LEVEL,pooled,oil,asset_price,a,0.1,9,-0.0065928001317843155,0.06486890945535798,0.9191490622957369,-0.11329266112581653,0.1001070608622479,216,True
LEVEL,pooled,oil,asset_price,a,0.1,10,0.04943090145893336,0.06785924179045849,0.4671964576333533,-0.062187618522279206,0.16104942144014595,215,True
LEVEL,pooled,oil,asset_price,a,0.1,11,-0.04999255466996999,0.05435486033097244,0.35881454546251434,-0.13939834382781072,0.039413234487870735,214,True
LEVEL,pooled,oil,asset_price,a,0.1,12,-0.012904118416372512,0.05131020833783325,0.801693089439711,-0.0973019007004932,0.07149366386774818,213,True
LEVEL,pooled,oil,asset_price,a,0.1,13,0.07300205846240715,0.05652518645270521,0.19803732067086474,-0.019973599488433233,0.16597771641324754,212,True
LEVEL,pooled,oil,asset_price,a,0.1,14,0.0007373185508541269,0.061314098422908095,0.9904176236725463,-0.10011539862332579,0.10159003572503404,211,True
LEVEL,pooled,oil,asset_price,a,0.1,15,-0.08008522369888738,0.06478866240272572,0.2179009506262589,-0.18665309003734526,0.026482642639570522,210,True
LEVEL,pooled,oil,asset_price,a,0.1,16,-0.11235118136727351,0.06170006562970757,0.0701509633911799,-0.21383875810144187,-0.01086360463310515,209,True
LEVEL,pooled,oil,asset_price,a,0.1,17,-0.07609076624579814,0.06463441259811446,0.2405386162817951,-0.18240491423368466,0.03022338174208837,208,True
LEVEL,pooled,oil,asset_price,a,0.1,18,-0.04204723091174856,0.04544702598472681,0.35602134604269525,-0.11680093643688425,0.03270647461338713,207,True
LEVEL,pooled,oil,asset_price,a,0.1,19,0.05327278328087459,0.051241496874216225,0.29981395195779403,-0.03101197870310249,0.13755754526485167,206,True
LEVEL,pooled,oil,asset_price,a,0.1,20,0.055447745560186945,0.06484757556657572,0.3935962177809001,-0.0512170243095048,0.1621125154298787,205,True
LEVEL,pooled,oil,asset_price,a,0.1,21,-0.07066617432312228,0.05559712644663048,0.20526831895038541,-0.16211530940694202,0.02078296076069748,204,True
LEVEL,pooled,oil,asset_price,a,0.1,22,-0.13807998570325708,0.05404913670117526,0.011415306735136539,-0.22698290423978112,-0.04917706716673302,203,True
LEVEL,pooled,oil,asset_price,a,0.1,23,0.02879141235553817,0.05236608174415597,0.5831020442840835,-0.057343127130574045,0.11492595184165039,202,True
LEVEL,pooled,oil,asset_price,a,0.1,24,0.14926308874407823,0.05087848630795309,0.0037685007811063343,0.06557542600664078,0.23295075148151567,201,True
LEVEL,pooled,dxy,asset_price,a,0.1,0,-0.014859267441906354,0.010607366718343699,0.1627296403064273,-0.03230683306097833,0.002588298177165615,225,True
LEVEL,pooled,dxy,asset_price,a,0.1,1,0.010815490546498996,0.009109754998595886,0.23647310303338825,-0.004168723003580751,0.025799704096578745,224,True
LEVEL,pooled,dxy,asset_price,a,0.1,2,0.013368943766643326,0.007674414782676587,0.08297698502781975,0.0007456547766277483,0.025992232756658906,223,True
LEVEL,pooled,dxy,asset_price,a,0.1,3,0.004939469305024424,0.007100037954328486,0.487395677009066,-0.006739053875645898,0.016617992485694746,222,True
LEVEL,pooled,dxy,asset_price,a,0.1,4,-0.007311881488689664,0.008405422627743088,0.38536237522772215,-0.021137571383992856,0.006513808406613527,221,True
LEVEL,pooled,dxy,asset_price,a,0.1,5,0.0019932241803886086,0.008205588514412871,0.808316372390615,-0.011503767848814746,0.015490216209591963,220,True
LEVEL,pooled,dxy,asset_price,a,0.1,6,0.009231089655145297,0.007997890832590508,0.24976582713111517,-0.003924270088803129,0.022386449399093723,219,True
LEVEL,pooled,dxy,asset_price,a,0.1,7,-0.012500647312503332,0.010955868314362127,0.2552075347896207,-0.030521447045784588,0.005520152420777923,218,True
LEVEL,pooled,dxy,asset_price,a,0.1,8,-0.0030950996415093357,0.010941677485799757,0.7775628106195503,-0.02109255753896033,0.014902358255941658,217,True
LEVEL,pooled,dxy,asset_price,a,0.1,9,-0.013338690334249392,0.009109715137068387,0.14468645573824152,-0.028322838317951057,0.001645457649452271,216,True
LEVEL,pooled,dxy,asset_price,a,0.1,10,-0.0014263034009047715,0.008493475750622015,0.8668077474177834,-0.01539682779473977,0.012544220992930228,215,True
LEVEL,pooled,dxy,asset_price,a,0.1,11,-0.005032165519713416,0.011276112915271511,0.6558866341102189,-0.0235797207463121,0.013515389706885268,214,True
LEVEL,pooled,dxy,asset_price,a,0.1,12,-0.001684139319612754,0.011458462137887428,0.8832983552560331,-0.02053163232640301,0.0171633536871775,213,True
LEVEL,pooled,dxy,asset_price,a,0.1,13,0.004867218191729528,0.0077703365812914725,0.5317842659296624,-0.007913848116641455,0.01764828450010051,212,True
